Starting training: 

Epoch: 1 | mean_loss=0.7690330463383586
Epoch: 2 | mean_loss=0.7782974191046701
Epoch: 3 | mean_loss=0.7782135715185128
Epoch: 4 | mean_loss=0.8757604607220354
Epoch: 5 | mean_loss=0.7693275875352287
Epoch: 6 | mean_loss=0.771853111354001
Epoch: 7 | mean_loss=0.7662775647170438
Epoch: 8 | mean_loss=0.7688060093102197
Epoch: 9 | mean_loss=0.7696845310882394
Epoch: 10 | mean_loss=0.7480881408664394
Epoch: 11 | mean_loss=0.7371950877711103
Epoch: 12 | mean_loss=0.7965305475105205
Epoch: 13 | mean_loss=0.7586734943789214
Epoch: 14 | mean_loss=0.7196089016833329
Epoch: 15 | mean_loss=0.7266182929204015
Epoch: 16 | mean_loss=0.7218153671971683
Epoch: 17 | mean_loss=0.6950596946066824
Epoch: 18 | mean_loss=0.6891755724481761
Epoch: 19 | mean_loss=0.690172915828639
Epoch: 20 | mean_loss=0.6520003514190026
Epoch: 21 | mean_loss=0.6852772728416133
Epoch: 22 | mean_loss=0.6777710996825119
Epoch: 23 | mean_loss=0.6601174185648927
Epoch: 24 | mean_loss=0.6787365414018701
Epoch: 25 | mean_loss=0.6552695720800625
Epoch: 26 | mean_loss=0.6290082050661735
Epoch: 27 | mean_loss=0.6537146807597776
Epoch: 28 | mean_loss=0.6350851194024674
Epoch: 29 | mean_loss=0.6103079426905205
Epoch: 30 | mean_loss=0.618525034945293
Epoch: 31 | mean_loss=0.6132050434063221
Epoch: 32 | mean_loss=0.573445115330184
Epoch: 33 | mean_loss=0.5385337319096615
Epoch: 34 | mean_loss=0.5301694944133899
Epoch: 35 | mean_loss=0.5375976293563403
Epoch: 36 | mean_loss=0.5356562122280522
Epoch: 37 | mean_loss=0.5200100114633297
Epoch: 38 | mean_loss=0.532792364747213
Epoch: 39 | mean_loss=0.4941479420940864
Epoch: 40 | mean_loss=0.5083709092756055
Epoch: 41 | mean_loss=0.4769822118868088
Epoch: 42 | mean_loss=0.4845791005602868
Epoch: 43 | mean_loss=0.436909995618703
Epoch: 44 | mean_loss=0.3945186673634883
Epoch: 45 | mean_loss=0.38537940064449727
Epoch: 46 | mean_loss=0.42333416912585425
Epoch: 47 | mean_loss=0.46973462029244967
Epoch: 48 | mean_loss=0.4488605787986752
Epoch: 49 | mean_loss=0.4476771256404704
Epoch: 50 | mean_loss=0.45934876130051966
loss_arr=[0.7690330463383586, 0.7782974191046701, 0.7782135715185128, 0.8757604607220354, 0.7693275875352287, 0.771853111354001, 0.7662775647170438, 0.7688060093102197, 0.7696845310882394, 0.7480881408664394, 0.7371950877711103, 0.7965305475105205, 0.7586734943789214, 0.7196089016833329, 0.7266182929204015, 0.7218153671971683, 0.6950596946066824, 0.6891755724481761, 0.690172915828639, 0.6520003514190026, 0.6852772728416133, 0.6777710996825119, 0.6601174185648927, 0.6787365414018701, 0.6552695720800625, 0.6290082050661735, 0.6537146807597776, 0.6350851194024674, 0.6103079426905205, 0.618525034945293, 0.6132050434063221, 0.573445115330184, 0.5385337319096615, 0.5301694944133899, 0.5375976293563403, 0.5356562122280522, 0.5200100114633297, 0.532792364747213, 0.4941479420940864, 0.5083709092756055, 0.4769822118868088, 0.4845791005602868, 0.436909995618703, 0.3945186673634883, 0.38537940064449727, 0.42333416912585425, 0.46973462029244967, 0.4488605787986752, 0.4476771256404704, 0.45934876130051966]
